OBJECTID;MUID;SEQN;SNAM;S5ID;CMPPCT;NLAYERS;HYDGRP;SOL_ZMX;ANION_EXCL;SOL_CRK;TEXTURE;SOL_Z1;SOL_BD1;SOL_AWC1;SOL_K1;SOL_CBN1;CLAY1;SILT1;SAND1;ROCK1;SOL_ALB1;USLE_K1;SOL_EC1;SOL_Z2;SOL_BD2;SOL_AWC2;SOL_K2;SOL_CBN2;CLAY2;SILT2;SAND2;ROCK2;SOL_ALB2;USLE_K2;SOL_EC2;SOL_Z3;SOL_BD3;SOL_AWC3;SOL_K3;SOL_CBN3;CLAY3;SILT3;SAND3;ROCK3;SOL_ALB3;USLE_K3;SOL_EC3;SOL_Z4;SOL_BD4;SOL_AWC4;SOL_K4;SOL_CBN4;CLAY4;SILT4;SAND4;ROCK4;SOL_ALB4;USLE_K4;SOL_EC4;SOL_Z5;SOL_BD5;SOL_AWC5;SOL_K5;SOL_CBN5;CLAY5;SILT5;SAND5;ROCK5;SOL_ALB5;USLE_K5;SOL_EC5;SOL_Z6;SOL_BD6;SOL_AWC6;SOL_K6;SOL_CBN6;CLAY6;SILT6;SAND6;ROCK6;SOL_ALB6;USLE_K6;SOL_EC6;SOL_Z7;SOL_BD7;SOL_AWC7;SOL_K7;SOL_CBN7;CLAY7;SILT7;SAND7;ROCK7;SOL_ALB7;USLE_K7;SOL_EC7;SOL_Z8;SOL_BD8;SOL_AWC8;SOL_K8;SOL_CBN8;CLAY8;SILT8;SAND8;ROCK8;SOL_ALB8;USLE_K8;SOL_EC8;SOL_Z9;SOL_BD9;SOL_AWC9;SOL_K9;SOL_CBN9;CLAY9;SILT9;SAND9;ROCK9;SOL_ALB9;USLE_K9;SOL_EC9;SOL_Z10;SOL_BD10;SOL_AWC10;SOL_K10;SOL_CBN10;CLAY10;SILT10;SAND10;ROCK10;SOL_ALB10;USLE_K10;SOL_EC10;SOL_CAL1;SOL_CAL2;SOL_CAL3;SOL_CAL4;SOL_CAL5;SOL_CAL6;SOL_CAL7;SOL_CAL8;SOL_CAL9;SOL_CAL10;SOL_PH1;SOL_PH2;SOL_PH3;SOL_PH4;SOL_PH5;SOL_PH6;SOL_PH7;SOL_PH8;SOL_PH9;SOL_PH10
120;;;soil120;;;8;B;98;0,5;0,5;;150;1,4672;0,1;99;1,74;15;27;58;14;0,23;0,13;0;300;1,4803;0,13;83,33;1,624;15;27;58;14;0,23;0,13;0;450;1,6987;0,11;33,33;0,29;16;27;57;14;0,23;0,13;0;600;1,6987;0,11;33,33;0,29;16;26;57;15;0,23;0,13;0;750;1,7037;0,11;33,33;0,29;17;26;57;15;0,23;0,13;0;900;1,7224;0,11;33,33;0,232;17;26;59;15;0,23;0,13;0;1050;1,863;0,11;33,33;0;17;25;58;15;0,23;0,13;0;1200;1,859;0,11;33,33;0;16;25;59;15;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;;;soil146;;;8;D;93;0,5;0,5;;150;1,4827;0,1;99;1,682;16;28;56;13;0,23;0,13;0;300;1,4893;0,13;83,33;1,624;16;28;56;14;0,23;0,13;0;450;1,7027;0,11;33,33;0,29;17;27;56;14;0,23;0,13;0;600;1,7037;0,11;33,33;0,29;17;26;57;14;0,23;0,13;0;750;1,7097;0,11;33,33;0,29;18;26;58;14;0,23;0,13;0;900;1,7097;0,11;33,33;0,29;18;26;58;14;0,23;0,13;0;1050;1,867;0,11;33,33;0;18;25;57;14;0,23;0,13;0;1200;1,868;0,11;33,33;0;18;25;58;14;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;;;soil153;;;8;C;99;0,5;0,5;;150;1,4647;0,1;99;1,682;14;28;58;9;0,23;0,13;0;300;1,4803;0,13;83,33;1,624;15;28;59;9;0,23;0,13;0;450;1,6647;0,11;33,33;0,406;15;28;57;9;0,23;0,13;0;600;1,6967;0,11;33,33;0,29;16;29;55;9;0,23;0,13;0;750;1,7832;0,11;33,33;0,058;16;28;54;10;0,23;0,13;0;900;1,7832;0,11;33,33;0,058;16;28;54;10;0,23;0,13;0;1050;1,855;0,11;33,33;0;16;27;55;10;0,23;0,13;0;1200;1,856;0,11;33,33;0;16;26;56;10;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;;;soil155;;;8;A;97;0,5;0,5;;150;1,4672;0,1;99;1,74;15;27;58;9;0,23;0,13;0;300;1,4737;0,13;83,33;1,682;15;27;58;9;0,23;0,13;0;450;1,6836;0,11;33,33;0,348;16;27;57;9;0,23;0,13;0;600;1,7047;0,11;33,33;0,29;17;27;58;10;0,23;0,13;0;750;1,861;0,11;33,33;0;17;27;56;10;0,23;0,13;0;900;1,861;0,11;33,33;0;17;27;56;10;0,23;0,13;0;1050;1,862;0,11;33,33;0;17;26;57;10;0,23;0,13;0;1200;1,863;0,11;33,33;0;17;25;58;10;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;;;soil158;;;8;D;88;0,5;0,5;;150;1,4672;0,1;99;1,74;15;27;58;13;0,23;0,13;0;300;1,4737;0,13;83,33;1,682;15;28;57;13;0,23;0,13;0;450;1,6997;0,11;33,33;0,29;16;28;58;14;0,23;0,13;0;600;1,7027;0,11;33,33;0,29;17;27;56;14;0,23;0,13;0;750;1,7037;0,11;33,33;0,29;17;26;57;14;0,23;0,13;0;900;1,7087;0,11;33,33;0,29;18;25;57;14;0,23;0,13;0;1050;1,7982;0,11;33,33;0,058;18;25;59;14;0,23;0,13;0;1200;1,7972;0,11;33,33;0,058;18;24;58;14;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;;;soil163;;;8;C;91;0,5;0,5;;150;1,4582;0,1;99;1,74;14;26;60;13;0,23;0,13;0;300;1,4647;0,13;83,33;1,682;14;26;60;13;0,23;0,13;0;450;1,6947;0,11;33,33;0,29;15;27;58;13;0,23;0,13;0;600;1,7047;0,11;33,33;0,29;17;26;58;13;0,23;0,13;0;750;1,7254;0,11;33,33;0,232;18;25;57;13;0,23;0,13;0;900;1,7264;0,11;33,33;0,232;18;24;58;13;0,23;0,13;0;1050;1,868;0,11;33,33;0;18;24;58;13;0,23;0,13;0;1200;1,868;0,11;33,33;0;18;24;58;13;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;;;soil204;;;8;B;84;0,5;0,5;;150;1,4672;0,1;99;1,74;15;28;57;10;0,23;0,13;0;300;1,4803;0,13;83,33;1,624;15;28;57;10;0,23;0,13;0;450;1,6786;0,11;33,33;0,348;15;28;57;10;0,23;0,13;0;600;1,6987;0,11;33,33;0,29;16;27;57;11;0,23;0,13;0;750;1,861;0,11;33,33;0;17;27;56;11;0,23;0,13;0;900;1,862;0,11;33,33;0;17;26;57;11;0,23;0,13;0;1050;1,862;0,11;33,33;0;17;26;57;11;0,23;0,13;0;1200;1,862;0,11;33,33;0;17;26;57;11;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
272;;;soil272;;;8;B;106;0,5;0,5;;150;1,4737;0,1;99;1,682;15;30;55;7;0,23;0,13;0;300;1,4871;0,13;83,33;1,566;15;30;55;7;0,23;0,13;0;450;1,6997;0,11;33,33;0,29;17;30;53;7;0,23;0,13;0;600;1,7037;0,11;33,33;0,29;18;28;52;7;0,23;0,13;0;750;1,7067;0,11;33,33;0,29;18;27;55;8;0,23;0,13;0;900;1,7224;0,11;33,33;0,232;17;26;59;8;0,23;0,13;0;1050;1,865;0,11;33,33;0;17;25;60;8;0,23;0,13;0;1200;1,859;0,11;33,33;0;16;25;59;8;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
415;;;soil415;;;8;A;90;0,5;0,5;;150;1,4737;0,1;99;1,682;15;40;45;13;0,23;0,13;0;300;1,4871;0,13;83,33;1,566;15;39;45;13;0,23;0,13;0;450;1,6897;0,11;33,33;0,29;16;36;48;14;0,23;0,13;0;600;1,6977;0,11;33,33;0,29;17;32;51;14;0,23;0,13;0;750;1,7007;0,11;33,33;0,29;17;29;54;14;0,23;0,13;0;900;1,7124;0,11;33,33;0,232;16;28;54;14;0,23;0,13;0;1050;1,856;0,11;33,33;0;16;28;56;14;0,23;0,13;0;1200;1,856;0,11;33,33;0;16;28;56;14;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
475;;;soil475;;;8;A;104;0,5;0,5;;150;1,4647;0,1;99;1,682;14;27;59;8;0,23;0,13;0;300;1,4781;0,13;83,33;1,566;14;27;61;8;0,23;0,13;0;450;1,7144;0,11;33,33;0,232;15;26;61;8;0,23;0,13;0;600;1,7144;0,11;33,33;0,232;15;26;61;8;0,23;0,13;0;750;1,7134;0,11;33,33;0,232;15;25;60;9;0,23;0,13;0;900;1,7334;0,11;33,33;0,174;15;24;61;8;0,23;0,13;0;1050;1,852;0,11;33,33;0;14;24;62;8;0,23;0,13;0;1200;1,853;0,11;33,33;0;14;23;63;8;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
